id, name, sizeX, sizeY, sizeZ, strainX, strainY, NX, NY, elecX, elecY, elecZ, XY_fig, XZ_fig, data_file
40,thick4voltage-8xsub4.0ysub3.92,40,40,28.8,4.0,3.92,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub4.0ysub3.92-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub4.0ysub3.92-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub4.0ysub3.92-20000-compress8.npz
41,thick4voltage-8xsub4.0ysub3.96,40,40,28.8,4.0,3.96,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub4.0ysub3.96-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub4.0ysub3.96-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub4.0ysub3.96-20000-compress8.npz
42,thick4voltage-8xsub4.0ysub4.0,40,40,28.8,4.0,4.0,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub4.0ysub4.0-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub4.0ysub4.0-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub4.0ysub4.0-20000-compress8.npz
43,thick4voltage-6xsub3.8ysub3.8,40,40,28.8,3.8,3.8,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.8ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.8ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.8ysub3.8-20000-compress8.npz
44,thick4voltage-6xsub3.84ysub3.8,40,40,28.8,3.84,3.8,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.84ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.84ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.84ysub3.8-20000-compress8.npz
45,thick4voltage-6xsub3.84ysub3.84,40,40,28.8,3.84,3.84,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.84ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.84ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.84ysub3.84-20000-compress8.npz
46,thick4voltage-6xsub3.88ysub3.8,40,40,28.8,3.88,3.8,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.88ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.88ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.88ysub3.8-20000-compress8.npz
47,thick4voltage-6xsub3.88ysub3.84,40,40,28.8,3.88,3.84,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.88ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.88ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.88ysub3.84-20000-compress8.npz
48,thick4voltage-6xsub3.88ysub3.88,40,40,28.8,3.88,3.88,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.88ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.88ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.88ysub3.88-20000-compress8.npz
49,thick4voltage-6xsub3.92ysub3.8,40,40,28.8,3.92,3.8,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.92ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.92ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.92ysub3.8-20000-compress8.npz
